,Loaded_line,Destination,Material,CUST_THICKNESS,CUST_WIDTH,KS_GRADE01,ZINC01,Sector,Creation,CBE$
13829,GI,Local,GCCF,1.0,1220.0,Normal Grade,275.0,Local Companies,Other,2430
13844,CR,Local,CRSF,0.8,870.0,Special Grade,0.0,Local Companies,Other,2750
13857,GI,Local,GCCF,0.8,1000.0,Normal Grade,60.0,Local Traders,EXW,1430
13858,GI,Local,GPNF,0.3,775.0,Normal Grade,60.0,Local Companies,Other,2550
13869,PP,Local,POCF,1.1400000000000001,1250.0,Normal Grade,180.0,Local Companies,EXW,2150
13878,GI,Local,GCNF,0.5,771.0,Normal Grade,60.0,Local Companies,EXW,1950
13883,CR,Local,CRNF,0.8400000000000001,600.0,Normal Grade,0.0,Local Companies,Other,2150
13884,GI,Export,GCCF,0.31,1087.0,Normal Grade,90.0,Export Far,FOB,2590
13890,Other,Local,FBNF,0.25,808.2,Normal Grade,0.0,Local Companies,Other,2490
13892,GI,Local,GCCF,0.6,1250.0,Normal Grade,60.0,Local Companies,Other,2030
13893,GI,Export,GCCF,0.48,1250.0,Normal Grade,140.0,Export Near,Other,2510
13894,GI,Export,GCRF,1.8,348.0,Normal Grade,275.0,Export Near,Other,2910
13935,CR,Local,CRCF,1.8,1250.0,Normal Grade,0.0,Local Companies,Other,2110
13936,CR,Local,CRSF,0.5,909.0,Normal Grade,0.0,Local Companies,EXW,2490
13948,CR,Local,CRCF,0.5,1000.0,Special Grade,0.0,Local Companies,EXW,2490
13983,PP,Local,POGF,0.7,1250.0,Normal Grade,180.0,Local Traders,Other,2570
14013,GI,Export,GCCF,1.25,1000.0,Normal Grade,140.0,Export Near,Other,2310
14014,GI,Export,GCCF,1.8,1000.0,Normal Grade,140.0,Export Near,Other,2310
14015,GI,Export,GCCF,2.0,1250.0,Normal Grade,140.0,Export Near,EXW,2150
14027,CR,Local,CRSF,0.4,918.6,Normal Grade,0.0,Local Companies,EXW,2490
14029,CR,Local,CRSF,0.4,558.0,Normal Grade,0.0,Local Companies,Other,2090
14033,CR,Local,CRCF,0.4,1250.0,Normal Grade,0.0,Local Companies,EXW,2030
14034,CR,Local,CRCF,0.4,918.6,Normal Grade,0.0,Local Companies,Other,1830
14054,GI,Local,GCCF,0.6,1250.0,Normal Grade,330.0,Local Companies,EXW,2430
14072,GI,Local,GCCF,1.2,1250.0,Normal Grade,180.0,Local Companies,EXW,1830
14104,PP,Local,POCF,0.5,1150.0,Normal Grade,80.0,Local Companies,Other,2370
14111,GI,Local,GHSF,2.0,1250.0,Normal Grade,275.0,Local Companies,EXW,2010
14114,GI,Local,GPNF,0.3,625.0,Normal Grade,60.0,Local Companies,Other,2550
14122,GI,Local,GCSF,0.5,1250.0,Normal Grade,150.0,Local Companies,EXW,2490
14134,GI,Export,GCCF,0.914,1219.2,Normal Grade,180.0,Export Far,EXW,2890
14136,GI,Export,GHCF,1.5999999999999999,1231.9,Normal Grade,90.0,Export Far,FOB,2530
14139,GI,Export,GCCF,0.419,1219.2,Normal Grade,90.0,Export Far,EXW,2890
14148,GI,Export,GCCF,0.6,1250.0,Normal Grade,100.0,Export Near,Other,2350
14152,GI,Export,GCCF,0.45,1250.0,Normal Grade,100.0,Export Near,EXW,2510
14156,GI,Export,GCCF,1.05,1250.0,Normal Grade,100.0,Export Near,Other,2350
14158,GI,Export,GCCF,1.1,1250.0,Normal Grade,100.0,Export Near,Other,2310
14161,GI,Export,GCCF,1.35,1250.0,Normal Grade,100.0,Export Near,Other,2150
14162,GI,Export,GCCF,1.38,1250.0,Normal Grade,100.0,Export Near,Other,2150
14169,GI,Export,GCCF,0.33,1000.0,Normal Grade,100.0,Export Near,EXW,2550
14188,GI,Export,GCCF,1.88,1240.0,Normal Grade,100.0,Export Near,Other,2150
14189,CR,Local,CRSF,0.7,897.0,Special Grade,0.0,Local Companies,Other,2350
14191,CR,Local,CRSF,0.7,915.0,Special Grade,0.0,Local Companies,Other,2550
14204,CR,Local,CRNF,1.0,600.0,Normal Grade,0.0,Local Companies,EXW,2350
14211,GI,Local,GCNF,1.04,980.0,Normal Grade,60.0,Local Traders,EXW,1550
14215,GI,Local,GHCF,2.0,1250.0,Normal Grade,330.0,Local Companies,Other,2150
14218,GI,Local,GHSF,1.5,1250.0,Normal Grade,275.0,Local Companies,Other,2410
14225,CR,Export,CRSF,2.0,1220.0,Normal Grade,0.0,Export Near,Other,2570
14230,GI,Local,GHSF,1.1400000000000001,1250.0,Special Grade,140.0,Local Companies,Other,2390
14236,CR,Local,CRSF,0.5,620.0,Normal Grade,0.0,Local Companies,Other,2490
14238,GI,Local,GCRF,1.5,345.0,Special Grade,275.0,Export Near,Other,2650
14243,GI,Local,GCSF,0.6,764.7,Normal Grade,100.0,Local Companies,EXW,2490
14245,CR,Export,CRCF,0.48,1000.0,Normal Grade,0.0,Export Near,EXW,2350
14246,CR,Export,CRCF,1.4,1000.0,Normal Grade,0.0,Export Near,Other,2310
