,Loaded_line,Destination,Material,CUST_THICKNESS,CUST_WIDTH,KS_GRADE01,ZINC01,Sector,Creation,CBE$
1617,CR,Export,CRCF,1.066,1000.0,Normal Grade,0.0,Export Near,Other,2390
1619,CR,Export,CRCF,1.15,1190.0,Normal Grade,0.0,Export Near,Other,2590
1620,GI,Export,GCCF,0.51,1250.0,Normal Grade,140.0,Export Near,Other,2510
1622,CR,Export,CRCF,1.0,1144.0,Normal Grade,0.0,Export Near,Other,2590
1624,GI,Export,GCCF,0.4,1000.0,Normal Grade,275.0,Export Near,Other,2710
1625,GI,Export,GCCF,0.4,1250.0,Normal Grade,275.0,Export Near,Other,2710
1626,GI,Export,GCCF,1.25,1250.0,Normal Grade,140.0,Export Near,Other,2310
1632,GI,Export,GCSF,2.0,1219.0,Normal Grade,120.0,Export Far,Other,3110
1633,GI,Export,GCCF,0.5,1250.0,Normal Grade,80.0,Export Near,Other,2510
1634,CR,Export,CRCF,0.92,1250.0,Normal Grade,0.0,Export Near,Other,2590
1635,CR,Export,CRCF,1.13,1250.0,Normal Grade,0.0,Export Near,EXW,2430
1636,CR,Export,CRCF,1.42,1100.0,Normal Grade,0.0,Export Near,Other,2390
1637,CR,Export,CRCF,1.55,1250.0,Normal Grade,0.0,Export Near,Other,2390
1639,GI,Export,GCCF,0.48,1168.0,Special Grade,120.0,Export Far,Other,2730
1652,GI,Export,GCCF,1.38,1250.0,Normal Grade,275.0,Export Near,Other,2510
1653,GI,Export,GCCF,1.13,1210.0,Normal Grade,100.0,Export Near,EXW,2350
1656,GI,Export,GCCF,1.8,1195.0,Normal Grade,140.0,Export Near,Other,2310
1658,CR,Export,CRCF,0.4,1000.0,Normal Grade,0.0,Export Near,Other,2590
1659,CR,Export,CRCF,0.5,1000.0,Normal Grade,0.0,Export Near,Other,2590
1662,CR,Export,CRCF,0.8,1000.0,Normal Grade,0.0,Export Near,Other,2590
1670,CR,Export,CRSF,0.8,1250.0,Normal Grade,0.0,Export Near,Other,2850
1671,CR,Export,CRSF,1.0,1250.0,Normal Grade,0.0,Export Near,Other,2850
1672,CR,Export,CRSF,1.5,1250.0,Normal Grade,0.0,Export Near,Other,2650
1673,CR,Export,CRSF,2.0,1250.0,Normal Grade,0.0,Export Near,Other,2650
1678,CR,Export,CRCF,0.95,1213.0,Normal Grade,0.0,Export Far,Other,3130
1684,GI,Local,GCRF,0.6599999999999999,356.0,Normal Grade,100.0,Local Companies,Other,2630
1687,CR,Export,CRCF,1.8,1000.0,Normal Grade,0.0,Export Far,Other,2590
1688,CR,Export,CRCF,1.1400000000000001,1250.0,Normal Grade,0.0,Export Far,Other,2590
1695,PP,Local,PONF,0.5,695.0,Normal Grade,60.0,Local Companies,Other,2490
1696,PP,Local,POSF,0.5,625.0,Normal Grade,60.0,Local Companies,Other,2230
1702,PP,Local,PONF,0.5,724.5,Normal Grade,60.0,Local Companies,EXW,2490
1703,PP,Local,PONF,0.5,617.0,Normal Grade,60.0,Local Companies,Other,2290
1706,PP,Local,POSF,0.5,624.0,Normal Grade,60.0,Local Companies,EXW,2630
1711,PP,Local,PONF,0.5,665.0,Normal Grade,60.0,Local Companies,Other,2290
1735,CR,Export,CRCF,1.25,1000.0,Normal Grade,0.0,Export Near,EXW,2230
1748,GI,Export,GCCF,0.9400000000000001,1219.0,Normal Grade,180.0,Export Far,FOB,2390
1757,PP,Export,POCF,0.55,1250.0,Normal Grade,100.0,Export Near,Other,2650
1763,CR,Export,CRSF,0.5,1150.0,Normal Grade,0.0,Export Far,Other,3390
1767,CR,Export,CRSF,1.066,1000.0,Normal Grade,0.0,Export Far,Other,2850
1768,CR,Export,CRSF,0.65,1000.0,Normal Grade,0.0,Export Far,Other,3050
1769,CR,Export,CRSF,0.85,1000.0,Normal Grade,0.0,Export Far,Other,3050
1770,Other,Local,HPSF,2.0,1250.0,Normal Grade,0.0,Local Companies,EXW,2150
1777,GI,Local,GCCF,1.0,1250.0,Special Grade,60.0,Local Companies,EXW,2410
1780,GI,Local,GCCF,1.0,1250.0,Special Grade,80.0,Local Companies,Other,2330
1791,PP,Local,PONF,0.45,1021.6,Normal Grade,80.0,Local Companies,Other,2490
1802,GI,Export,GCCF,0.5,1250.0,Normal Grade,140.0,Export Near,Other,2510
1804,PP,Local,PONF,0.4,726.0,Normal Grade,80.0,Local Companies,Other,2490
1807,GI,Export,GCCF,1.1400000000000001,1250.0,Normal Grade,100.0,Export Near,FOB,1990
1815,PP,Local,POPF,0.7,1250.0,Normal Grade,180.0,Local Companies,EXW,2290
1816,PP,Local,POGF,0.7,1200.0,Normal Grade,180.0,Local Companies,EXW,2290
1832,CR,Export,CRNF,1.2,750.0,Normal Grade,0.0,Export Near,Other,2630
1833,CR,Export,CRNF,1.2,550.0,Normal Grade,0.0,Export Near,Other,2630
1837,GI,Local,GCCF,0.5,1150.0,Normal Grade,150.0,Local Companies,EXW,1750
1838,CR,Export,CRSF,0.6,1220.0,Normal Grade,0.0,Export Far,Other,3390
1840,CR,Export,CRSF,0.5,1220.0,Normal Grade,0.0,Export Far,Other,3390
1844,CR,Export,CRSF,1.5,1220.0,Normal Grade,0.0,Export Far,Other,3190
1849,GI,Export,GCSF,0.6,1160.0,Normal Grade,120.0,Export Far,Other,3310
1850,GI,Export,GCSF,0.8,1220.0,Normal Grade,120.0,Export Far,EXW,3150
1853,GI,Export,GHSF,2.0,1220.0,Normal Grade,120.0,Export Far,EXW,2950
1856,CR,Export,CRSF,1.0,1200.0,Normal Grade,0.0,Export Far,EXW,3230
1859,PP,Local,POGF,0.7,1250.0,Normal Grade,180.0,Local Companies,EXW,2090
1860,GI,Export,GCNF,0.86,870.0,Special Grade,275.0,Export Far,EXW,3390
1867,PP,Local,POSF,0.5,703.0,Normal Grade,100.0,Local Companies,Other,2630
1878,CR,Export,CRCF,1.45,1250.0,Normal Grade,0.0,Export Near,Other,2390
1879,GI,Export,GCCF,0.61,1250.0,Normal Grade,140.0,Export Near,Other,2510
1880,CR,Local,CRSF,1.25,1250.0,Normal Grade,0.0,Local Companies,EXW,1970
1881,GI,Export,GCCF,0.48,1219.0,Special Grade,180.0,Export Far,FOB,2910
1882,GI,Local,GCNF,0.5,748.0,Special Grade,100.0,Local Companies,EXW,2130
1883,GI,Local,GCNF,0.6,785.0,Special Grade,100.0,Local Companies,EXW,2130
1884,GI,Local,GCRF,1.2,570.0,Special Grade,100.0,Local Companies,EXW,2410
1885,GI,Local,GCNF,1.0,922.0,Special Grade,100.0,Local Companies,EXW,2130
1886,GI,Local,GCNF,0.7,893.7,Special Grade,100.0,Local Companies,EXW,2130
1887,GI,Local,GCNF,0.6,896.0,Special Grade,100.0,Local Companies,EXW,2130
1888,GI,Local,GCRF,1.2,1244.0,Special Grade,100.0,Local Companies,EXW,2410
1889,GI,Local,GCRF,0.43999999999999995,596.0,Special Grade,100.0,Local Companies,EXW,2210
1898,GI,Export,GCCF,0.6,1250.0,Normal Grade,145.0,Export Near,Other,2510
1900,GI,Local,GHRF,2.0,345.0,Special Grade,275.0,Local Companies,Other,2810
1901,GI,Local,GCRF,1.5,345.0,Special Grade,275.0,Local Companies,Other,2810
1902,CR,Local,CRNF,0.5,681.0,Normal Grade,0.0,Local Companies,Other,2230
1913,GI,Local,GCRF,0.6,484.0,Normal Grade,60.0,Local Companies,EXW,2230
1914,GI,Export,GCCF,1.2,1170.0,Normal Grade,100.0,Export Near,Other,2510
1933,CR,Export,CRSF,0.5,1220.0,Normal Grade,0.0,Export Far,Other,3230
1935,GI,Export,GHSF,0.8400000000000001,1220.0,Normal Grade,120.0,Export Far,Other,3110
1946,CR,Export,CRCF,0.37,1000.0,Normal Grade,0.0,Export Near,Other,2510
1950,CR,Export,CRCF,1.15,1250.0,Normal Grade,0.0,Export Near,Other,2510
1954,CR,Export,CRCF,0.65,1000.0,Normal Grade,0.0,Export Near,EXW,2350
1959,CR,Export,CRCF,0.45,1250.0,Normal Grade,0.0,Export Near,Other,2510
1960,CR,Export,CRCF,1.45,1188.0,Normal Grade,0.0,Export Near,Other,2310
1962,GI,Export,GCCF,1.066,1000.0,Normal Grade,80.0,Export Near,Other,2230
1963,GI,Export,GCCF,0.67,1000.0,Normal Grade,80.0,Export Near,Other,2430
1965,GI,Export,GCCF,0.87,1000.0,Normal Grade,80.0,Export Near,EXW,2270
1966,GI,Export,GCCF,0.97,1000.0,Normal Grade,80.0,Export Near,Other,2430
1967,GI,Export,GCCF,1.17,1000.0,Normal Grade,80.0,Export Near,Other,2430
1968,GI,Export,GCCF,1.37,1150.0,Normal Grade,80.0,Export Near,Other,2230
1969,GI,Local,GCCF,0.3,1250.0,Normal Grade,220.0,Local Companies,EXW,2030
1971,PP,Local,POSF,0.4,677.5,Normal Grade,100.0,Local Companies,EXW,2230
1974,PP,Local,POGF,0.7,1250.0,Normal Grade,180.0,Local Traders,EXW,2170
1982,GI,Export,GCCF,1.4,1250.0,Normal Grade,80.0,Export Near,EXW,2070
1983,GI,Export,GCCF,0.3,1250.0,Normal Grade,60.0,Export Near,FOB,2310
1984,GI,Export,GCCF,0.33,1250.0,Normal Grade,60.0,Export Near,FOB,2310
1985,GI,Export,GCCF,0.38,1000.0,Normal Grade,60.0,Export Near,FOB,2110
1986,CR,Export,CRCF,0.45,1000.0,Normal Grade,0.0,Export Near,EXW,2190
1987,CR,Export,CRCF,0.5,1250.0,Normal Grade,0.0,Export Near,FOB,1990
1990,PP,Export,POCF,0.45,1200.0,Normal Grade,80.0,Export Near,EXW,2490
1991,PP,Export,POCF,0.45,1200.0,Normal Grade,80.0,Export Near,Other,2450
1993,CR,Export,CRCF,0.8,1200.0,Normal Grade,0.0,Export Near,Other,2590
1996,GI,Export,GCCF,0.7,1200.0,Normal Grade,100.0,Export Near,FOB,2190
1999,GI,Export,GHCF,2.0,1250.0,Normal Grade,140.0,Export Near,EXW,1990
2001,GI,Export,GCCF,1.0,1200.0,Normal Grade,100.0,Export Near,FOB,2190
2012,PP,Export,PONF,0.25,975.0,Normal Grade,80.0,Export Far,Other,3510
2015,PP,Local,POGF,0.5,1150.0,Normal Grade,180.0,Local Companies,EXW,2290
2021,PP,Local,PONF,0.4,810.5,Normal Grade,100.0,Local Companies,Other,2090
2024,PP,Local,PONF,0.4,715.0,Normal Grade,60.0,Local Companies,Other,2490
2025,PP,Local,PORF,0.62,538.0,Normal Grade,60.0,Local Companies,Other,2570
2026,PP,Local,PONF,0.4,826.0,Normal Grade,60.0,Local Companies,Other,2490
2027,PP,Local,PONF,0.4,754.0,Normal Grade,60.0,Local Companies,Other,2490
2028,PP,Local,PORF,0.4,455.0,Normal Grade,60.0,Local Companies,Other,2770
2032,PP,Local,POSF,0.5,1250.0,Normal Grade,60.0,Local Companies,EXW,2230
2034,PP,Local,PORF,0.4,918.6,Normal Grade,80.0,Local Companies,Other,2770
2040,PP,Local,PORF,0.4,565.0,Normal Grade,80.0,Local Companies,EXW,2770
2046,CR,Local,CRNF,1.2,700.0,Normal Grade,0.0,Local Traders,EXW,1830
2048,PP,Local,PONF,0.5,655.0,Normal Grade,100.0,Local Companies,EXW,2490
2049,PP,Local,POCF,0.5,1250.0,Normal Grade,60.0,Local Companies,Other,2370
2050,PP,Local,PONF,0.5,1150.0,Normal Grade,100.0,Local Companies,Other,2490
2052,PP,Local,POGF,0.5,1250.0,Normal Grade,80.0,Local Traders,EXW,2170
2053,CR,Export,CRCF,1.4,1250.0,Normal Grade,0.0,Export Near,Other,2390
2061,CR,Export,CRCF,0.95,1250.0,Normal Grade,0.0,Export Near,Other,2590
2062,CR,Export,CRCF,1.12,1000.0,Normal Grade,0.0,Export Near,Other,2590
2063,CR,Export,CRCF,0.65,1250.0,Normal Grade,0.0,Export Near,Other,2590
2069,GI,Export,GCCF,1.118,1219.2,Normal Grade,275.0,Export Far,FOB,2930
2080,PP,Local,POSF,0.4,511.0,Normal Grade,120.0,Local Companies,EXW,2230
2084,GI,Export,GCCF,0.45,1250.0,Normal Grade,100.0,Export Near,Other,2510
2085,GI,Export,GCCF,0.47,1250.0,Normal Grade,100.0,Export Near,Other,2510
2086,GI,Export,GCCF,1.1400000000000001,1250.0,Normal Grade,100.0,Export Near,Other,2310
2089,GI,Export,GCCF,0.6,1250.0,Normal Grade,140.0,Export Near,Other,2510
2090,GI,Export,GCCF,0.7,1250.0,Normal Grade,100.0,Export Near,Other,2510
2091,GI,Export,GCCF,0.8,1000.0,Normal Grade,100.0,Export Near,Other,2510
2092,GI,Export,GCCF,0.8,1250.0,Normal Grade,100.0,Export Near,Other,2510
2094,GI,Export,GCCF,0.9,1250.0,Normal Grade,100.0,Export Near,Other,2510
2096,GI,Export,GCCF,1.08,1250.0,Normal Grade,100.0,Export Near,Other,2510
2097,GI,Export,GCCF,1.13,1234.0,Normal Grade,100.0,Export Near,Other,2510
2098,GI,Export,GCCF,1.2,1250.0,Normal Grade,100.0,Export Near,Other,2510
2099,GI,Export,GCCF,1.33,1250.0,Normal Grade,100.0,Export Near,Other,2310
2100,GI,Export,GCCF,1.37,1250.0,Normal Grade,100.0,Export Near,Other,2310
2101,GI,Export,GCCF,1.4,1250.0,Normal Grade,100.0,Export Near,Other,2310
2102,GI,Export,GCCF,1.5,1000.0,Normal Grade,100.0,Export Near,Other,2310
2103,GI,Export,GCCF,1.5,1250.0,Normal Grade,100.0,Export Near,Other,2310
2104,GI,Export,GCCF,1.85,1250.0,Normal Grade,100.0,Export Near,Other,2310
2107,GI,Export,GCCF,0.85,1000.0,Normal Grade,100.0,Export Near,Other,2510
2108,GI,Export,GCCF,1.0,1000.0,Normal Grade,100.0,Export Near,Other,2510
2109,PP,Export,POCF,0.3,1000.0,Normal Grade,80.0,Export Near,Other,2850
2119,PP,Local,PORF,0.45,388.0,Normal Grade,100.0,Local Companies,EXW,2350
2125,CR,Local,CRNF,0.7,940.0,Special Grade,0.0,Local Companies,EXW,2210
2126,CR,Local,CRNF,0.7,852.0,Special Grade,0.0,Local Companies,EXW,2010
2129,GI,Export,GCNF,0.3,914.0,Normal Grade,90.0,Export Far,FOB,2710
2130,GI,Export,GCCF,0.3,1038.0,Normal Grade,90.0,Export Far,FOB,2590
2131,GI,Export,GCCF,0.3,1076.0,Normal Grade,90.0,Export Far,FOB,2590
2133,GI,Export,GCCF,0.47,1219.0,Normal Grade,275.0,Export Far,FOB,2590
2134,GI,Export,GCNF,0.33,838.0,Normal Grade,90.0,Export Far,FOB,2710
2135,GI,Export,GCCF,0.33,1156.0,Normal Grade,90.0,Export Far,FOB,2590
2136,GI,Export,GCCF,0.33,1226.0,Normal Grade,90.0,Export Far,FOB,2590
2139,CR,Export,CRCF,0.6,1160.0,Normal Grade,0.0,Export Near,Other,2590
2143,GI,Export,GCCF,0.4,1250.0,Normal Grade,80.0,Export Near,EXW,2350
2144,GI,Export,GCCF,0.45,1250.0,Normal Grade,80.0,Export Near,Other,2510
2145,PP,Local,POPF,1.1400000000000001,1250.0,Normal Grade,180.0,Local Companies,EXW,2090
2147,PP,Export,POCF,0.25,975.0,Normal Grade,100.0,Export Far,Other,2990
2151,GI,Export,GCSF,0.95,1220.0,Normal Grade,120.0,Export Far,Other,3310
2152,GI,Export,GCSF,1.15,1220.0,Normal Grade,120.0,Export Far,Other,3310
2153,GI,Export,GCSF,1.45,1188.0,Normal Grade,120.0,Export Far,Other,3110
2154,GI,Export,GHSF,1.9,1220.0,Normal Grade,120.0,Export Far,Other,3110
2156,GI,Export,GCCF,1.15,1250.0,Normal Grade,275.0,Export Near,Other,2710
2157,GI,Export,GCCF,1.1400000000000001,1250.0,Normal Grade,275.0,Export Near,Other,2510
2158,GI,Export,GCCF,0.95,1250.0,Normal Grade,140.0,Export Near,EXW,2350
2159,GI,Export,GCCF,1.41,1250.0,Normal Grade,275.0,Export Near,Other,2510
2177,CR,Local,CRCF,1.066,1000.0,Normal Grade,0.0,Local Companies,Other,2030
2179,CR,Export,CRSF,0.8,1220.0,Normal Grade,0.0,Export Far,Other,3390
2186,GI,Export,GCCF,0.914,1219.2,Normal Grade,275.0,Export Far,FOB,2930
2187,GI,Export,GCCF,1.473,1219.2,Normal Grade,275.0,Export Far,FOB,2730
2188,GI,Export,GCCF,1.803,1219.2,Normal Grade,275.0,Export Far,FOB,2730
2189,GI,Export,GCCF,0.61,1219.2,Normal Grade,275.0,Export Far,FOB,2930
2190,GI,Export,GCCF,0.483,1219.2,Normal Grade,275.0,Export Far,FOB,2930
2191,GI,Export,GCCF,0.483,1224.2800000000002,Normal Grade,275.0,Export Far,FOB,2930
2192,GI,Export,GCCF,1.194,1219.2,Normal Grade,275.0,Export Far,FOB,2930
2193,GI,Export,GCCF,0.432,1219.2,Normal Grade,90.0,Export Far,FOB,2730
2197,CR,Export,CRCF,2.0,1200.0,Normal Grade,0.0,Export Near,Other,2390
2202,GI,Export,GCSF,1.0,1220.0,Normal Grade,120.0,Export Far,EXW,3310
2203,CR,Export,CRNF,0.8,990.0,Special Grade,0.0,Export Near,Other,2890
2204,CR,Export,CRCF,2.0,1104.0,Special Grade,0.0,Export Near,Other,2570
2205,CR,Export,CRCF,2.0,1204.0,Special Grade,0.0,Export Near,Other,2570
2207,CR,Local,CRRF,1.2,535.0,Normal Grade,0.0,Local Companies,EXW,2430
2208,PP,Export,POCF,0.6,1000.0,Normal Grade,100.0,Export Near,Other,2650
2212,GI,Export,GCCF,0.58,1250.0,Normal Grade,140.0,Export Near,Other,2510
2213,GI,Export,GCCF,0.6,1160.0,Normal Grade,140.0,Export Near,Other,2510
2215,GI,Export,GCCF,1.1,1250.0,Normal Grade,140.0,Export Near,Other,2510
2216,GI,Export,GCCF,1.45,1250.0,Normal Grade,140.0,Export Near,Other,2310
2217,GI,Export,GCCF,1.6,1250.0,Normal Grade,140.0,Export Near,Other,2310
2221,GI,Export,GCCF,0.457,1219.2,Normal Grade,120.0,Export Far,FOB,2730
2222,PP,Export,POCF,0.35,1250.0,Normal Grade,60.0,Export Near,FOB,2450
2223,PP,Export,POCF,0.6,1250.0,Normal Grade,60.0,Export Near,FOB,2250
2224,PP,Export,POCF,0.4,1250.0,Normal Grade,60.0,Export Near,FOB,2250
2230,CR,Local,CRNF,0.5,803.0,Normal Grade,0.0,Local Companies,Other,2430
2234,GI,Local,GHCF,2.0,1250.0,Normal Grade,120.0,Local Traders,EXW,1430
2237,GI,Local,GCCF,0.8,1250.0,Normal Grade,120.0,Local Traders,EXW,1630
2238,GI,Local,GCCF,1.0,1250.0,Normal Grade,100.0,Local Traders,EXW,1630
2259,CR,Export,CRCF,0.9,1250.0,Normal Grade,0.0,Export Near,Other,2590
2261,CR,Export,CRCF,1.1,1250.0,Normal Grade,0.0,Export Near,Other,2590
2265,GI,Export,GCCF,1.0,1250.0,Normal Grade,100.0,Export Near,Other,2510
2266,GI,Export,GCCF,1.18,1250.0,Normal Grade,100.0,Export Near,Other,2510
2269,GI,Export,GCCF,1.5,1250.0,Normal Grade,275.0,Export Near,Other,2510
2270,GI,Export,GCCF,1.8,1250.0,Normal Grade,100.0,Export Near,Other,2310
2271,GI,Export,GHCF,2.0,1250.0,Normal Grade,100.0,Export Near,Other,2310
2283,CR,Local,CRCF,0.8,1180.0,Special Grade,0.0,Local Companies,EXW,2090
2284,GI,Local,GCPF,2.0,1250.0,Normal Grade,60.0,Local Traders,EXW,1830
2286,PP,Local,POPF,0.5,1150.0,Normal Grade,120.0,Local Traders,EXW,2170
2289,GI,Export,GCCF,1.25,1250.0,Normal Grade,100.0,Export Near,Other,2310
2292,GI,Export,GCCF,0.8,1100.0,Normal Grade,100.0,Export Near,Other,2510
2294,GI,Export,GCCF,0.6,1250.0,Normal Grade,100.0,Export Near,Other,2510
2295,GI,Export,GCCF,0.5,1250.0,Normal Grade,100.0,Export Near,Other,2510
2296,GI,Local,GCCF,0.6,1250.0,Normal Grade,275.0,Local Companies,EXW,2430
2303,GI,Local,GCSF,0.8,1250.0,Normal Grade,120.0,Local Companies,EXW,2010
2308,CR,Local,CRRF,0.8,291.5,Special Grade,0.0,Local Companies,EXW,2290
2312,GI,Local,GCCF,0.5,1250.0,Normal Grade,120.0,Local Companies,EXW,1750
2315,CR,Local,CRCF,1.1400000000000001,1250.0,Normal Grade,0.0,Local Traders,EXW,1510
2319,CR,Local,CRSF,0.6,1225.0,Normal Grade,0.0,Local Companies,EXW,2090
2320,PP,Local,PLCF,0.4,918.6,Normal Grade,60.0,Local Companies,EXW,1890
2323,PP,Local,POCF,1.1400000000000001,1250.0,Normal Grade,80.0,Local Companies,EXW,1690
2325,PP,Local,POCF,0.5,1250.0,Normal Grade,60.0,Local Companies,EXW,1890
2326,PP,Local,POCF,0.7,1250.0,Normal Grade,60.0,Local Companies,EXW,1890
2337,PP,Local,PONF,0.45,736.0,Normal Grade,80.0,Local Companies,EXW,2490
2339,GI,Export,GCCF,0.38,1000.0,Normal Grade,70.0,Export Near,Other,2510
2340,GI,Export,GCCF,0.48,1000.0,Normal Grade,70.0,Export Near,Other,2510
2341,GI,Export,GCCF,0.46,1200.0,Normal Grade,100.0,Export Near,Other,2510
2342,GI,Export,GCCF,0.3,1000.0,Normal Grade,70.0,Export Near,Other,2710
2344,GI,Export,GCCF,0.4,918.6,Normal Grade,70.0,Export Near,Other,2510
2346,GI,Export,GCCF,0.25,1000.0,Normal Grade,70.0,Export Near,Other,2710
2347,GI,Export,GCCF,0.4,1000.0,Normal Grade,70.0,Export Near,Other,2510
2348,GI,Export,GCCF,1.066,1000.0,Normal Grade,70.0,Export Near,Other,2310
2349,GI,Export,GCCF,0.56,1200.0,Normal Grade,100.0,Export Near,Other,2510
2350,GI,Export,GCCF,0.35,1000.0,Normal Grade,70.0,Export Near,Other,2710
2360,Other,Local,FBCF,1.066,1000.0,Normal Grade,0.0,Local Companies,Other,1970
2361,CR,Local,CRSF,0.4,1250.0,Normal Grade,0.0,Local Companies,EXW,2090
2368,PP,Local,POSF,0.5,703.0,Normal Grade,100.0,Local Companies,EXW,2630
2370,GI,Export,GCCF,0.85,931.2,Normal Grade,100.0,Export Near,Other,2510
2371,GI,Export,GCCF,0.35,1250.0,Normal Grade,100.0,Export Near,Other,2710
2372,GI,Export,GCCF,0.4,1250.0,Normal Grade,100.0,Export Near,Other,2510
2375,GI,Export,GCCF,0.5,1250.0,Normal Grade,100.0,Export Near,Other,2310
2377,GI,Export,GCCF,0.6,1250.0,Normal Grade,100.0,Export Near,Other,2310
2379,GI,Export,GCCF,0.67,1250.0,Normal Grade,100.0,Export Near,Other,2510
2381,GI,Export,GCCF,0.95,1250.0,Normal Grade,100.0,Export Near,Other,2510
2382,GI,Export,GCCF,1.1,1250.0,Normal Grade,100.0,Export Near,Other,2510
2383,GI,Export,GCCF,1.35,1250.0,Normal Grade,100.0,Export Near,Other,2310
2385,GI,Export,GCCF,1.5,1250.0,Normal Grade,100.0,Export Near,EXW,2310
2387,GI,Export,GHCF,1.9,1250.0,Normal Grade,100.0,Export Near,Other,2310
2388,GI,Export,GCCF,1.37,1180.0,Normal Grade,100.0,Export Near,Other,2310
2390,PP,Export,POCF,0.48,1200.0,Normal Grade,90.0,Export Near,Other,2570
2401,GI,Local,GCCF,0.7,1250.0,Normal Grade,330.0,Local Traders,EXW,1830
2404,GI,Local,GCCF,1.1400000000000001,1250.0,Normal Grade,60.0,Local Traders,EXW,1430
2417,GI,Export,GCCF,0.386,1219.2,Special Grade,120.0,Export Far,FOB,2910
2421,GI,Local,GHRF,2.0,400.0,Special Grade,275.0,Local Companies,EXW,2230
2424,CR,Local,CRSF,2.0,1000.0,Normal Grade,0.0,Local Companies,EXW,2370
2432,CR,Local,CRSF,0.8,1250.0,Normal Grade,0.0,Local Companies,Other,2170
2438,GI,Local,GCCF,1.0,1000.0,Normal Grade,80.0,Local Companies,Other,2230
2439,GI,Local,GCCF,1.2,1000.0,Normal Grade,80.0,Local Companies,Other,2230
2440,GI,Local,GCCF,1.2,1244.0,Normal Grade,80.0,Local Companies,Other,2230
2443,GI,Local,GCCF,1.2,1250.0,Normal Grade,80.0,Local Companies,Other,2230
2444,GI,Local,GCCF,1.0,1000.0,Normal Grade,80.0,Local Companies,EXW,1830
2446,GI,Local,GHCF,1.5,1250.0,Normal Grade,80.0,Local Companies,Other,2030
2465,GI,Local,GCCF,0.7,1250.0,Normal Grade,100.0,Local Companies,Other,2150
2466,GI,Export,GCCF,1.4,1250.0,Normal Grade,100.0,Export Near,EXW,1990
2467,GI,Export,GHCF,1.1400000000000001,1250.0,Normal Grade,100.0,Export Near,FOB,1990
2471,GI,Export,GCCF,1.2,1220.0,Normal Grade,120.0,Export Far,Other,3050
2529,GI,Local,GCCF,1.0,1000.0,Normal Grade,275.0,Local Traders,EXW,1830
2532,GI,Local,GCCF,1.5,1250.0,Normal Grade,60.0,Local Traders,EXW,1430
2533,GI,Local,GCCF,2.0,1000.0,Normal Grade,60.0,Local Traders,EXW,1430
2535,CR,Local,CRCF,1.0,1250.0,Normal Grade,0.0,Local Traders,EXW,1710
2538,CR,Local,CRCF,2.0,1250.0,Normal Grade,0.0,Local Traders,EXW,1510
2549,CR,Export,CRRF,1.2,700.0,Normal Grade,0.0,Export Near,Other,2910
2550,CR,Export,CRRF,1.2,950.0,Normal Grade,0.0,Export Near,Other,2910
2553,CR,Local,CRCF,0.48,1000.0,Normal Grade,0.0,Local Traders,EXW,1710
2555,CR,Local,CRCF,0.6,1000.0,Normal Grade,0.0,Local Traders,EXW,1710
2556,CR,Local,CRCF,0.6,1250.0,Normal Grade,0.0,Local Traders,EXW,1710
2557,CR,Local,CRCF,0.7,1000.0,Normal Grade,0.0,Local Traders,EXW,1710
2559,CR,Local,CRCF,2.0,1000.0,Normal Grade,0.0,Local Traders,EXW,1510
2566,GI,Local,GHCF,2.0,1000.0,Normal Grade,275.0,Local Traders,EXW,1630
2569,CR,Local,CRCF,0.5,1250.0,Normal Grade,0.0,Local Traders,EXW,1710
2570,CR,Local,CRCF,0.75,1250.0,Normal Grade,0.0,Local Traders,EXW,1710
2571,CR,Local,CRCF,0.9,1000.0,Normal Grade,0.0,Local Traders,EXW,1710
2580,CR,Export,CRCF,1.45,1250.0,Normal Grade,0.0,Export Near,Other,2310
2581,PP,Export,POCF,0.6,1220.0,Normal Grade,100.0,Export Near,Other,2570
2582,PP,Export,POCF,0.7,1220.0,Normal Grade,100.0,Export Near,Other,2570
2583,GI,Export,GCCF,1.8,1250.0,Normal Grade,100.0,Export Near,Other,2230
2584,PP,Export,POCF,0.8400000000000001,1220.0,Normal Grade,100.0,Export Near,Other,2370
2585,PP,Export,POCF,0.45,1220.0,Normal Grade,100.0,Export Near,Other,2570
2590,PP,Local,PONF,0.5,725.0,Normal Grade,60.0,Local Companies,Other,2490
2599,GI,Export,GCCF,0.4,1000.0,Normal Grade,100.0,Export Near,Other,2510
2600,GI,Export,GCCF,0.5,1000.0,Normal Grade,140.0,Export Near,Other,2510
2604,GI,Export,GCCF,0.7,1250.0,Normal Grade,140.0,Export Near,Other,2510
2607,CR,Local,CRSF,1.5,1250.0,Normal Grade,0.0,Local Companies,EXW,1970
2609,GI,Export,GCCF,1.1400000000000001,1250.0,Normal Grade,80.0,Export Near,Other,2510
2610,Other,Local,HPSF,1.8,1222.5,Special Grade,0.0,Local Companies,EXW,2010
2612,Other,Local,HPRF,1.8,500.0,Special Grade,0.0,Local Companies,EXW,2150
2613,CR,Local,CRCF,0.5,1250.0,Normal Grade,0.0,Local Companies,EXW,1910
2614,CR,Local,CRRF,0.6,449.0,Normal Grade,0.0,Local Companies,EXW,2310
2615,CR,Local,CRRF,0.6,540.0,Normal Grade,0.0,Local Companies,EXW,2310
2618,GI,Local,GCRF,0.6,596.0,Special Grade,100.0,Local Companies,EXW,2210
